player,FG_URL,position,fangraphs_id,mlbam_id,franchise_abbr,HTD
Ian Gibaut ,https://www.fangraphs.com/players/Ian-Gibaut/17871/stats,P,17871,664139,BAL,0
Kyle Gibson ,https://www.fangraphs.com/players/Kyle-Gibson/10123/stats,P,10123,502043,HOU,0
Tyler Gilbert ,https://www.fangraphs.com/players/Tyler-Gilbert/17964/stats,P,17964,656457,NYY,2
Mychal Givens ,https://www.fangraphs.com/players/Mychal-Givens/10430/stats,P,10430,571710,MIN,1
Tyler Glasnow ,https://www.fangraphs.com/players/Tyler-Glasnow/14374/stats,P,14374,607192,OAK,1
Yan Gomes ,https://www.fangraphs.com/players/Yan-Gomes/9627/stats,C,9627,543228,MIL,1
Marco Gonzales ,https://www.fangraphs.com/players/Marco-Gonzales/15467/stats,P,15467,594835,CHW,1
Chi Gonzalez ,https://www.fangraphs.com/players/Chi-Gonzalez/14663/stats,P,14663,592346,TB,0
Romy Gonzalez ,https://www.fangraphs.com/players/Romy-Gonzalez/21562/stats,SS,21562,663853,NYY,0
Niko Goodrum ,https://www.fangraphs.com/players/Niko-Goodrum/12092/stats,3B,12092,592348,MIA,0
Anthony Gose ,https://www.fangraphs.com/players/Anthony-Gose/5097/stats,P,5097,543238,BOS,2
Trevor Gott ,https://www.fangraphs.com/players/Trevor-Gott/15046/stats,P,15046,641627,NYM,1
Kendall Graveman ,https://www.fangraphs.com/players/Kendall-Graveman/15514/stats,P,15514,608665,ATL,0
Jon Gray ,https://www.fangraphs.com/players/Jon-Gray/14916/stats,P,14916,592351,HOU,1
Shane Greene ,https://www.fangraphs.com/players/Shane-Greene/10756/stats,P,10756,572888,STL,2
Zack Greinke ,https://www.fangraphs.com/players/Zack-Greinke/1943/stats,P,1943,425844,PHI,2
Randal Grichuk ,https://www.fangraphs.com/players/Randal-Grichuk/10243/stats,LF,10243,545341,MIL,2
Robbie Grossman ,https://www.fangraphs.com/players/Robbie-Grossman/5254/stats,LF,5254,543257,BAL,0
Yulieski Gurriel ,https://www.fangraphs.com/players/Yulieski-Gurriel/19198/stats,3B,19198,493329,MIL,2
Eric Haase ,https://www.fangraphs.com/players/Eric-Haase/14111/stats,C,14111,606992,COL,0
Sam Haggerty ,https://www.fangraphs.com/players/Sam-Haggerty/18054/stats,2B,18054,664059,CHC,0
Billy Hamilton ,https://www.fangraphs.com/players/Billy-Hamilton/10199/stats,CF,10199,571740,TOR,0
Brad Hand ,https://www.fangraphs.com/players/Brad-Hand/9111/stats,P,9111,543272,WAS,0
Mitch Haniger ,https://www.fangraphs.com/players/Mitch-Haniger/14274/stats,RF,14274,571745,TB,1
Ian Happ ,https://www.fangraphs.com/players/Ian-Happ/17919/stats,CF,17919,664023,DET,2
Josh Harrison ,https://www.fangraphs.com/players/Josh-Harrison/8202/stats,3B,8202,543281,ATL,2
Geoff Hartlieb ,https://www.fangraphs.com/players/Geoff-Hartlieb/19558/stats,P,19558,664129,OAK,2
Andrew Heaney ,https://www.fangraphs.com/players/Andrew-Heaney/15423/stats,P,15423,571760,TB,1
Tyler Heineman ,https://www.fangraphs.com/players/Tyler-Heineman/13897/stats,C,13897,623168,CIN,0
Ben Heller ,https://www.fangraphs.com/players/Ben-Heller/15100/stats,P,15100,621294,PHI,1
Heath Hembree ,https://www.fangraphs.com/players/Heath-Hembree/11632/stats,P,11632,592390,MIA,2
Enrique Hernandez ,https://www.fangraphs.com/players/Enrique-Hernandez/10472/stats,2B,10472,571771,TEX,2
Jose Hernandez ,https://www.fangraphs.com/players/Jose-Hernandez/22318/stats,P,22318,669796,PIT,0
Teoscar Hernandez ,https://www.fangraphs.com/players/Teoscar-Hernandez/13066/stats,CF,13066,606192,SF,1
Tim Herrin ,https://www.fangraphs.com/players/Tim-Herrin/25139/stats,P,25139,682120,CHC,2
Jason Heyward ,https://www.fangraphs.com/players/Jason-Heyward/4940/stats,RF,4940,518792,ARI,1
Aaron Hicks ,https://www.fangraphs.com/players/Aaron-Hicks/5297/stats,CF,5297,543305,CHC,0
Garrett Hill ,https://www.fangraphs.com/players/Garrett-Hill/25097/stats,P,25097,682051,NYY,1
Rich Hill ,https://www.fangraphs.com/players/Rich-Hill/4806/stats,P,4806,448179,ARI,0
Timothy Hill ,https://www.fangraphs.com/players/Timothy-Hill/16814/stats,P,16814,657612,BAL,0
Sam Hilliard ,https://www.fangraphs.com/players/Sam-Hilliard/17954/stats,CF,17954,656541,ATL,0
Bryan Hoeing ,https://www.fangraphs.com/players/Bryan-Hoeing/26304/stats,P,26304,663773,TB,2
Rhys Hoskins ,https://www.fangraphs.com/players/Rhys-Hoskins/16472/stats,1B,16472,656555,STL,0
Daniel Hudson ,https://www.fangraphs.com/players/Daniel-Hudson/7146/stats,P,7146,543339,LAD,2
Tommy Hunter ,https://www.fangraphs.com/players/Tommy-Hunter/1157/stats,P,1157,488984,SD,0
Jose Iglesias ,https://www.fangraphs.com/players/Jose-Iglesias/10231/stats,SS,10231,578428,KC,2
Raisel Iglesias ,https://www.fangraphs.com/players/Raisel-Iglesias/17130/stats,P,17130,628452,WAS,0
Jay Jackson ,https://www.fangraphs.com/players/Jay-Jackson/7432/stats,P,7432,543351,PIT,2
Zach Jackson ,https://www.fangraphs.com/players/Zach-Jackson/19493/stats,P,19493,667427,MIL,1
Travis Jankowski ,https://www.fangraphs.com/players/Travis-Jankowski/13768/stats,CF,13768,608671,HOU,2
Corey Julks ,https://www.fangraphs.com/players/Corey-Julks/20311/stats,OF,20311,667452,TOR,1
Brad Keller ,https://www.fangraphs.com/players/Brad-Keller/15734/stats,P,15734,641745,ARI,0
Trevor Kelley ,https://www.fangraphs.com/players/Trevor-Kelley/18454/stats,P,18454,665001,MIN,1
Joe Kelly ,https://www.fangraphs.com/players/Joe-Kelly/9761/stats,P,9761,523260,PIT,2
Michael Kelly ,https://www.fangraphs.com/players/Michael-Kelly/12791/stats,P,12791,547184,PIT,1
Zack Kelly ,https://www.fangraphs.com/players/Zack-Kelly/20349/stats,P,20349,677161,PHI,1
Tony Kemp ,https://www.fangraphs.com/players/Tony-Kemp/14894/stats,2B,14894,643393,PIT,1
Ian Kennedy ,https://www.fangraphs.com/players/Ian-Kennedy/6986/stats,P,6986,453178,BAL,1
Ray Kerr ,https://www.fangraphs.com/players/Ray-Kerr/23809/stats,P,23809,678061,TOR,2
Clayton Kershaw ,https://www.fangraphs.com/players/Clayton-Kershaw/2036/stats,P,2036,477132,OAK,2
Dallas Keuchel ,https://www.fangraphs.com/players/Dallas-Keuchel/9434/stats,P,9434,572971,DET,0
Kevin Kiermaier ,https://www.fangraphs.com/players/Kevin-Kiermaier/11038/stats,CF,11038,595281,MIL,2
Yusei Kikuchi ,https://www.fangraphs.com/players/Yusei-Kikuchi/20633/stats,P,20633,579328,DET,0
Tyler Kinley ,https://www.fangraphs.com/players/Tyler-Kinley/18297/stats,P,18297,641755,TB,2
Corey Kluber ,https://www.fangraphs.com/players/Corey-Kluber/2429/stats,P,2429,446372,TOR,2
Andrew Knapp ,https://www.fangraphs.com/players/Andrew-Knapp/14942/stats,C,14942,595284,BOS,0
Matt Koch ,https://www.fangraphs.com/players/Matt-Koch/13420/stats,P,13420,571863,WAS,1
Jared Koenig ,https://www.fangraphs.com/players/Jared-Koenig/27517/stats,P,27517,657649,TOR,2
Adam Kolarek ,https://www.fangraphs.com/players/Adam-Kolarek/10843/stats,P,10843,592473,NYM,1
Joey Krehbiel ,https://www.fangraphs.com/players/Joey-Krehbiel/13707/stats,P,13707,607216,BAL,1
Chad Kuhl ,https://www.fangraphs.com/players/Chad-Kuhl/14975/stats,P,14975,641771,WAS,0
Jake Lamb ,https://www.fangraphs.com/players/Jake-Lamb/13329/stats,3B,13329,571875,KC,0
Jimmy Lambert ,https://www.fangraphs.com/players/Jimmy-Lambert/19541/stats,P,19541,669424,MIN,0
Dinelson Lamet ,https://www.fangraphs.com/players/Dinelson-Lamet/17186/stats,P,17186,659275,PIT,0
Joe LaSorsa ,https://www.fangraphs.com/players/Joe-LaSorsa/25481/stats,P,25481,686747,KC,0
Tommy La Stella ,https://www.fangraphs.com/players/Tommy-La-Stella/12371/stats,2B,12371,600303,TB,0
Jake Latz ,https://www.fangraphs.com/players/Jake-Latz/21306/stats,P,21306,656641,LAA,1
Ramon Laureano ,https://www.fangraphs.com/players/Ramon-Laureano/17128/stats,CF,17128,657656,NYY,1
